Date_Stamp,Price,Open,High,Low,Change %
2018-04-06,62.06,63.7,63.79,61.81,-2.33
2018-04-05,63.54,63.6,64.12,63.07,0.27
2018-04-04,63.37,63.59,63.64,62.06,-0.22
2018-04-03,63.51,62.89,63.86,62.86,0.79
2018-04-02,63.01,64.91,65.42,62.8,-2.97
2018-03-29,64.94,64.69,65.26,64.16,0.87
2018-03-28,64.38,64.7,65.13,63.72,-1.33
2018-03-27,65.25,65.53,66.41,64.53,-0.46
2018-03-26,65.55,65.9,66.55,65.08,-0.5
2018-03-23,65.88,64.28,66,64.11,2.46
2018-03-22,64.3,65.5,65.74,64.14,-1.33
2018-03-21,65.17,63.72,65.55,63.58,2.79
2018-03-20,63.4,62.1,63.81,62.08,2.16
2018-03-19,62.06,62.23,62.35,61.36,-0.45
2018-03-16,62.34,61.19,62.54,61.08,1.88
2018-03-15,61.19,60.95,61.54,60.82,0.38
2018-03-14,60.96,60.87,61.33,60.11,0.41
2018-03-13,60.71,61.37,61.97,60.27,-1.06
2018-03-12,61.36,62.1,62.33,60.67,-1.1
2018-03-09,62.04,60.27,62.18,60.14,3.19
2018-03-08,60.12,61.33,61.4,59.95,-1.68
2018-03-07,61.15,62.3,62.58,60.58,-2.32
2018-03-06,62.6,62.58,63.28,62.17,0.05
2018-03-05,62.57,61.55,62.79,61.1,2.16
2018-03-02,61.25,61.34,61.6,60.13,0.43
2018-03-01,60.99,61.55,61.83,60.18,-1.05
2018-02-28,61.64,62.79,63.44,61.36,-2.17
2018-02-27,63.01,64.06,64.08,62.64,-1.41
2018-02-26,63.91,63.6,64.24,63.06,0.57
2018-02-23,63.55,62.6,63.73,62.33,1.24
2018-02-22,62.77,61.34,63.09,60.75,1.77
2018-02-21,61.68,61.63,61.86,60.92,-0.36
2018-02-20,61.9,61.63,62.74,61.58,-0.77
2018-02-19,62.38,61.71,62.49,61.67,1.07
2018-02-18,61.72,61.51,61.74,61.51,0.06
2018-02-16,61.68,61.45,61.99,60.88,0.55
2018-02-15,61.34,60.71,61.64,59.72,1.22
2018-02-14,60.6,58.98,60.9,58.2,2.38
2018-02-13,59.19,59.35,59.73,58.39,-0.17
2018-02-12,59.29,59.12,60.83,59.1,0.15
2018-02-09,59.2,60.43,60.77,58.07,-3.19
2018-02-08,61.15,61.7,62.09,60.27,-1.04
2018-02-07,61.79,63.92,64.18,61.25,-2.52
2018-02-06,63.39,63.43,64.29,63.12,-1.18
2018-02-05,64.15,65.1,65.4,63.42,-1.99
2018-02-02,65.45,65.99,66.3,64.47,-0.53
2018-02-01,65.8,64.76,66.25,64.63,1.65
2018-01-31,64.73,64.03,64.94,63.67,0.36
2018-01-30,64.5,65.53,65.56,63.89,-1.62
2018-01-29,65.56,66.18,66.46,64.98,-0.88
2018-01-26,66.14,65.25,66.35,64.91,0.96
2018-01-25,65.51,65.88,66.66,65.08,-0.15
2018-01-24,65.61,64.42,66.05,64.34,1.77
2018-01-23,64.47,63.88,64.88,63.7,1.54
2018-01-22,63.49,63.61,64.14,63.17,0.19
2018-01-19,63.37,63.74,63.77,62.85,-0.91
2018-01-18,63.95,64.07,64.35,63.47,-0.03
2018-01-17,63.97,63.89,64.17,63.31,0.38
2018-01-16,63.73,64.43,64.89,63.39,-1.54
2018-01-15,64.73,64.28,64.89,64.11,0.7
2018-01-14,64.28,64.42,64.44,64.19,-0.03
2018-01-12,64.3,63.57,64.5,63.06,0.78
2018-01-11,63.8,63.5,64.77,63.43,0.36
2018-01-10,63.57,63.41,63.67,63.09,0.97
2018-01-09,62.96,61.92,63.48,61.8,1.99
2018-01-08,61.73,61.61,61.97,61.34,0.47
2018-01-05,61.44,61.9,62.04,61.09,-0.92
2018-01-04,62.01,61.96,62.21,61.59,0.62
2018-01-03,61.63,60.39,61.97,60.28,2.09
2018-01-02,60.37,60.2,60.74,60.1,0.22
2018-01-01,60.24,60.26,60.28,60.15,-0.3
2017-12-29,60.42,59.91,60.51,59.82,0.97
2017-12-28,59.84,59.53,59.94,59.44,0.34
2017-12-27,59.64,59.79,59.93,59.33,-0.55
2017-12-26,59.97,58.4,60.01,58.32,2.36
2017-12-25,58.59,58.41,58.62,58.38,0.21
2017-12-22,58.47,58.21,58.5,57.87,0.19
2017-12-21,58.36,58.02,58.38,57.63,0.46
2017-12-20,58.09,57.66,58.12,57.44,1.1
2017-12-19,57.46,57.3,57.64,57.16,0.52
2017-12-18,57.16,57.37,57.78,56.82,-0.24
2017-12-15,57.3,57.15,57.49,56.94,0.46
2017-12-14,57.04,56.7,57.22,56.09,0.78
2017-12-13,56.6,57.45,57.83,56.55,-0.95
2017-12-12,57.14,58.02,58.56,56.85,-1.47
2017-12-11,57.99,57.25,58.08,56.91,1.1
2017-12-08,57.36,56.65,57.79,56.54,1.18
2017-12-07,56.69,56,56.78,55.82,1.3
2017-12-06,55.96,57.45,57.57,55.87,-2.88
2017-12-05,57.62,57.48,57.92,57.08,0.26
2017-12-04,57.47,58.32,58.34,57.35,-1.53
2017-12-01,58.36,57.42,58.88,57.29,1.67
2017-11-30,57.4,57.41,57.98,56.82,0.17
2017-11-29,57.3,57.73,58.3,56.75,-1.19
2017-11-28,57.99,57.86,58.11,57.42,-0.21
2017-11-27,58.11,58.95,58.99,57.55,-1.42
2017-11-24,58.95,58.05,59.05,57.75,0.98
2017-11-23,58.38,57.97,58.58,57.76,0.62
2017-11-22,58.02,57.12,58.15,57.03,2.09
2017-11-21,56.83,56.38,57.22,56.32,1.32
2017-11-20,56.09,56.69,56.76,55.57,-0.81
2017-11-17,56.55,55.25,56.68,55.18,2.56
2017-11-16,55.14,55.3,55.62,54.93,-0.34
2017-11-15,55.33,55.06,55.56,54.88,-0.66
2017-11-14,55.7,56.72,56.77,54.81,-1.87
2017-11-13,56.76,56.9,57.15,56.3,0.04
2017-11-10,56.74,57.02,57.35,56.55,-0.75
2017-11-09,57.17,56.85,57.53,56.69,0.63
2017-11-08,56.81,56.96,57.92,56.41,-0.68
2017-11-07,57.2,57.27,57.69,56.83,-0.26
2017-11-06,57.35,55.97,57.61,55.66,3.07
2017-11-03,55.64,54.73,55.76,54.4,2.02
2017-11-02,54.54,54.28,54.84,53.99,0.44
2017-11-01,54.3,54.65,55.22,53.89,-0.15
2017-10-31,54.38,54.08,54.85,53.93,0.42
2017-10-30,54.15,54.16,54.46,53.75,0.46
